,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
151,151,20200916,78.65,69.66,24.5,17.78,89.74,-0.002539683904760004,-0.010851048789051632,-0.03213127818279293,-0.017285069321445246,-0.01504120371807538
152,152,20200915,78.85,70.42,25.3,18.09,91.1,0.011479717905261921,0.034969608550799336,0.014732498198008148,0.00665559861173648,-0.0028499416417879786
153,153,20200914,77.95,68.0,24.93,17.97,91.36,0.015253656663977821,0.027129402682640524,-0.00520105193245568,-0.004995847193371983,-0.00491347824790811
154,154,20200911,76.77,66.18,25.06,18.06,91.81,0.020130934406977552,0.004239860985005173,-0.003584947077825973,0.03722934176835624,0.011722949919790615
155,155,20200910,75.24,65.9,25.15,17.4,90.74,0.003461593125064333,0.015907340629289557,-0.0011921320704533223,-0.022166295457260343,0.004860813812878284
156,156,20200909,74.98,64.86,25.18,17.79,90.3,-0.026713872243393055,-0.03066886789727441,-0.03970938215084985,-0.05840677552756768,-0.02223165536159666
157,157,20200908,77.01,66.88,26.2,18.86,92.33,-0.01788864380520394,0.002695015854867755,-0.017404903983511577,0.012807005356390011,0.007937844104451308
158,158,20200907,78.4,66.7,26.66,18.62,91.6,-0.038779092890454336,-0.0308534326163441,-0.03102168992196308,-0.03535055506871654,-0.020637110767270705
159,159,20200904,81.5,68.79,27.5,19.29,93.51,-0.0460402575130372,-0.03063508967607298,-0.016588912693083824,-0.05251080072261738,-0.015808509153185213
160,160,20200903,85.34,70.93,27.96,20.33,95.0,0.010483634506044837,0.0,-0.010672459890771702,-0.005396137695248715,0.0031628914085084503
161,161,20200902,84.45,70.93,28.26,20.44,94.7,-0.021669954835572547,-0.010797272391579682,-0.004589593228498501,0.0019588644853332227,0.007525606559822151
162,162,20200901,86.3,71.7,28.39,20.4,93.99,-0.012207913907213097,0.016310822797668934,-0.012600796758479582,-0.0034254988230273398,-0.009319139772575369
163,163,20200831,87.36,70.54,28.75,20.47,94.87,-0.04082199452025481,0.0036926614890093745,0.02643325706815558,-0.018393548571612683,-0.005466217752331026
164,164,20200828,91.0,70.28,28.0,20.85,95.39,0.0378502241310974,0.03312662778052822,0.025684175454956826,0.02034953941527995,0.01350944028641976
165,165,20200827,87.62,67.99,27.29,20.43,94.11,0.05912067456312631,-0.018939960100921027,0.0033033614182955695,0.015787205044969888,-0.004981726345032911
166,166,20200826,82.59,69.29,27.2,20.11,94.58,0.004854967662217824,-0.00990889130025252,-0.028630330225410727,-0.019207682359801748,0.006257643583519545
167,167,20200825,82.19,69.98,27.99,20.5,93.99,0.002314392896154871,-0.005557549038915255,0.014393915298167581,-0.0014623448864798938,0.016844988190089616
168,168,20200824,82.0,70.37,27.59,20.53,92.42,0.0,0.014168394436853582,-0.09369432428612878,0.0034154705073619063,0.006731107815675763
169,169,20200821,82.0,69.38,30.3,20.46,91.8,0.05786167398188535,0.0049125947664308,0.05077232537342313,0.0,0.0010899183640251664
170,170,20200820,77.39,69.04,28.8,20.46,91.7,-0.040641076230214956,-0.015522013277860403,0.013986241974739855,0.0004888780346696819,-0.011169665549714658
